DATE,CPI,Federal_Funds,Unemployment,Wages,Labor_output,GDP
4/1/2005,2.14031,2.943333333,-7.38203,-2.05279,1.82904,3.56089
7/1/2005,2.04668,3.46,-7.27144,-1.19403,2.16706,3.5055
10/1/2005,2.10155,3.98,-6.80821,-1.48368,1.76075,3.12611
1/1/2006,2.10526,4.456666667,-9.28046,-1.19048,1.36541,3.35389
4/1/2006,2.46133,4.906666667,-7.64214,-1.49701,1.50415,3.11947
7/1/2006,2.81784,5.246666667,-5.33985,0.90634,0.39379,2.3665
10/1/2006,2.66754,5.246666667,-8.68688,1.50602,1.15017,2.5907
1/1/2007,2.6269,5.256666667,-2.56098,1.20482,0.68682,1.48229
4/1/2007,2.2881,5.25,-2.39799,1.82371,1.23192,1.82569
7/1/2007,2.1193,5.073333333,1.29304,0.5988,2.53733,2.22081
10/1/2007,2.31034,4.496666667,8.64889,-1.48368,2.48635,1.97348
1/1/2008,2.38809,3.176666667,10.73457,-0.29762,1.38191,1.14924
4/1/2008,2.33625,2.086666667,19.48046,0,1.94336,1.09243
7/1/2008,2.46667,1.94,30.31422,-1.4881,1.20413,0.00188
10/1/2008,1.99951,0.506666667,44.1913,2.40964,-0.21888,-2.75308
1/1/2009,1.75369,0.183333333,66.84924,2.98507,1.54134,-3.28907
4/1/2009,1.82999,0.18,74.98679,2.98507,2.62858,-3.92445
7/1/2009,1.48027,0.156666667,59.40292,4.22961,3.94738,-3.04978
10/1/2009,1.75022,0.12,43.17199,1.17647,6.03408,0.18287
1/1/2010,1.34009,0.133333333,18.183,-0.28986,5.54081,1.71025
4/1/2010,0.95261,0.193333333,3.69029,-0.86957,3.71077,2.79607
7/1/2010,0.89634,0.186666667,-1.54196,-0.86957,2.71795,3.17821
10/1/2010,0.64557,0.186666667,-3.77499,-0.87209,1.63567,2.56945
1/1/2011,1.10595,0.156666667,-8.3574,-1.74419,0.4189,1.93063
4/1/2011,1.45118,0.093333333,-6.43702,-1.75439,0.38329,1.7215
7/1/2011,1.89818,0.083333333,-5.0527,-1.75439,-0.60041,0.94904
10/1/2011,2.17432,0.073333333,-9.00216,-1.75953,-0.24767,1.60935
1/1/2012,2.22848,0.103333333,-7.81092,-0.88757,0.85753,2.65176
4/1/2012,2.2529,0.153333333,-9.03912,0.29762,1.07293,2.36151
7/1/2012,2.01773,0.143333333,-10.32291,-0.89286,1.26372,2.52812
10/1/2012,1.949,0.16,-8.90745,-0.59701,0.26035,1.46857
1/1/2013,1.92917,0.143333333,-5.7746,-1.19403,0.4767,1.57195
4/1/2013,1.66135,0.116666667,-7.45566,-0.59347,-0.32893,1.26165
7/1/2013,1.74478,0.083333333,-9.0167,0.3003,0.39067,1.91742
10/1/2013,1.72315,0.086666667,-11.25539,0.3003,1.48784,2.61412
1/1/2014,1.60251,0.073333333,-14.34229,1.20846,0.02591,1.4572
4/1/2014,1.89651,0.093333333,-17.47192,-1.49254,1.20205,2.60273
7/1/2014,1.77404,0.09,-15.98099,0.5988,1.64419,3.03591
10/1/2014,1.7271,0.1,-17.10644,0.5988,0.32699,2.70227
1/1/2015,1.68376,0.11,-15.88697,1.79104,1.93511,3.80856
4/1/2015,1.76338,0.123333333,-11.82592,2.72727,1.64924,3.36847
7/1/2015,1.84963,0.136666667,-15.43082,1.4881,0.88713,2.37901
10/1/2015,2.01787,0.16,-11.07587,2.67857,0.66465,2.00001
1/1/2016,2.23018,0.36,-9.85894,1.46628,0.0567,1.55685
4/1/2016,2.19655,0.373333333,-8.75376,1.76991,-0.25956,1.29595
7/1/2016,2.23313,0.396666667,-2.6001,1.46628,-0.12229,1.53625
10/1/2016,2.18431,0.45,-4.30987,1.15942,1.00751,1.87876
1/1/2017,2.14298,0.7,-5.85025,1.44509,0.99652,1.93826
4/1/2017,1.78142,0.95,-10.24027,2.31884,1.17446,2.11471
7/1/2017,1.69985,1.153333333,-11.15991,2.02312,1.44305,2.33888
10/1/2017,1.7543,1.203333333,-12.98132,-1.14613,1.01489,2.47171
1/1/2018,1.92102,1.446666667,-10.26268,-0.2849,1.06795,2.58041
4/1/2018,2.19168,1.736666667,-9.34249,-0.56657,1.36506,2.86981
7/1/2018,2.23193,1.923333333,-11.54418,0.56657,1.26446,3.00279
10/1/2018,2.20826,2.22,-7.14646,2.89855,1.67482,2.97138
1/1/2019,2.0912,2.403333333,-4.2041,1.42857,2.4062,3.21089
